NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04974190,NO,2021-10,
NCT05886790,NO,2023-12-31,
NCT04487990,NO,2021-03-31,
NCT05997290,NO,2024-03-19,
NCT05543603,NO,2022-01-08,
NCT04377503,NO,2020-08-31,
NCT05704803,NO,2023-04-30,
NCT04828564,NO,2021-09-30,
NCT04945564,NO,2021-08-30,
NCT04992390,NO,2022-05-30,
NCT05785390,NO,2023-10-22,
NCT04351490,NO,2020-07,
NCT05395390,NO,2023-05-05,
NCT04285190,NO,2020-04-15,
NCT05604690,NO,2024-02-01,
NCT05254990,NO,2024-09,
NCT04950803,NO,2025-05-31,
NCT04789603,NO,2021-06-01,
NCT05295290,NO,2029-11-21,
NCT04330690,NO,2024-03-10,
NCT05481190,NO,2021-09-15,
NCT04707703,NO,2021-10-25,
NCT04385264,NO,2022-08,
NCT04554264,NO,2021-09-01,
NCT04359290,NO,2020-12-31,
NCT04619290,NO,2020-11-30,
NCT04723290,NO,2020-10-31,
NCT04363203,NO,2021-03,
NCT04421664,NO,2020-08-17,
NCT04359303,NO,2020-11,
NCT04286503,NO,2021-02-28,
NCT04573764,NO,2022-01-01,
NCT05894564,YES,2023-02-27,2024-01-26
NCT05265390,NO,2022-05-31,
NCT04304690,NO,2021-07-07,
NCT05278390,NO,2025-04,
NCT05008003,NO,2023-03-01,
NCT05295264,NO,2024-01-01,
NCT04933864,NO,2020-05-20,
NCT04963790,NO,2023-12,
NCT04534803,NO,2022-05,
NCT04398290,NO,2021-06-01,
NCT04911790,NO,2023-01-02,
NCT04536090,NO,2022-12,
NCT04595903,NO,2022-11-14,
NCT04794803,YES,2020-11-27,2022-02-21
NCT05022303,NO,2022-09,
NCT04869579,NO,2021-11-15,
NCT04469179,NO,2021-02-25,
NCT04730284,NO,2021-09-30,
NCT04374279,NO,2022-01,
NCT05003479,NO,2022-09,
NCT05139979,NO,2024-03-31,
NCT06113679,NO,2024-01-31,
NCT05910879,NO,2024-10-31,
NCT05193279,NO,2022-12-15,
NCT04400279,NO,2020-11-28,
NCT04552379,NO,2021-05-31,
NCT04453384,NO,2021-05-21,
NCT05863884,NO,2024-03-31,
NCT05629884,NO,2023-11-14,
NCT04662684,NO,2021-07-10,
NCT04952402,YES,2022-02-28,2023-02-22
NCT04935502,NO,2021-08-30,
NCT04405102,NO,2022-03-14,
NCT04288102,NO,2020-05-12,
NCT04401579,YES,2020-07-31,2021-02-25
NCT05113784,NO,2022-09-20,
NCT04816084,NO,2020-12-01,
NCT04632602,NO,2020-11-29,
NCT04961502,NO,2021-08,
NCT04958902,NO,2021-11-01,
NCT05220579,NO,2021-08-12,
NCT04346979,NO,2020-10-01,
NCT05713279,NO,2023-11-01,
NCT04595084,NO,2021-11-01,
NCT05358184,NO,2022-06-30,
NCT05216484,NO,2022-10-30,
NCT04657484,NO,2021-09-01,
NCT06223984,NO,2020-11-14,
NCT06073002,NO,2024-04-30,
NCT04688502,NO,2023-01-28,
NCT04701502,NO,2021-02-15,
NCT04435379,NO,2021-10-12,
NCT04977479,YES,2022-06-17,2023-06-16
NCT04570384,YES,2021-08-30,2022-09-27
NCT05167279,NO,2022-12-08,
NCT04344379,NO,2020-06-18,
NCT05485584,NO,2023-04-05,
NCT04904484,NO,2022-06-01,
NCT05303584,NO,2022-06-20,
NCT05659602,NO,2023-01-03,
NCT05566379,NO,2023-06,
NCT04541979,NO,2022-12-01,
NCT04406584,NO,2022-05-12,
NCT04344184,NO,2022-06-10,
NCT04981379,NO,2021-01-31,
NCT04584684,NO,2021-10-21,
NCT04338802,NO,2020-05-04,
NCT05656521,NO,2023-04-21,
NCT04321421,NO,2020-04-28,
NCT05445921,YES,2022-12-12,2023-09-04
NCT05421221,NO,2023-08-01,
NCT04359264,NO,2020-05-29,
NCT06042764,NO,2024-03-01,
NCT05753202,NO,2024-03-01,
NCT05198102,NO,2022-07-19,
NCT05844202,NO,2023-03-02,
NCT06156202,NO,2025-09-30,
NCT04877002,NO,2021-06-10,
NCT04539821,NO,2021-05-31,
NCT04760821,NO,2021-04-30,
NCT04487964,NO,2021-11-01,
NCT05582564,NO,2021-06-20,
NCT04364802,YES,2022-01-28,2022-09-08
NCT04355364,NO,2021-12-20,
NCT04611802,NO,2023-04-10,
NCT06057064,NO,2024-05-27,
NCT04409821,NO,2022-05-31,
NCT04912921,NO,2022-05-15,
NCT04482621,NO,2024-03,
NCT05285384,NO,2022-03-30,
NCT05676021,NO,2021-12-20,
NCT04851821,NO,2021-05-30,
NCT04377802,NO,2020-11-16,
NCT05276102,NO,2022-05-30,
NCT04960202,YES,2021-12-09,2022-11-22
NCT04342221,NO,2021-02-26,
NCT04842721,NO,2021-10,
NCT04764721,NO,2023-08-15,
NCT04411602,NO,2021-04-07,
NCT05438602,NO,2023-07-17,
NCT05594602,NO,2022-12-14,
NCT04649021,NO,2021-02-07,
NCT04406064,NO,2024-06,
NCT04542421,YES,2021-06-30,2022-12-22
NCT04324021,YES,2020-11-13,2021-11-29
NCT05876364,NO,2022-06-13,
NCT04871802,NO,2021-09-01,
NCT04428021,NO,2021-03-31,
NCT05468021,NO,2023-06,
NCT04587921,NO,2021-01-22,
NCT05249764,NO,2022-03-01,
NCT04378738,NO,2020-05-07,
NCT04842708,NO,2021-12-24,
NCT05855408,NO,2024-05-18,
NCT04366323,NO,2021-12-30,
NCT04625738,NO,2021-05-14,
NCT04610138,NO,2022-05-28,
NCT05595538,NO,2020-09-29,
NCT04370938,NO,2020-10-29,
NCT04883138,NO,2022-01-11,
NCT05000008,NO,2021-10-01,
NCT04400838,NO,2024-03-31,
NCT04996238,NO,2022-07-05,
NCT04898738,NO,2022-09,
NCT05472038,NO,2024-03-19,
NCT04992208,NO,2023-03-24,
NCT04430608,NO,2021-04-25,
NCT04357808,NO,2020-11-30,
NCT04563208,NO,2022-02-28,
NCT05305508,NO,2023-11-10,
NCT04640038,NO,2023-12,
